name,reduceInfect,reduceRisk,reduceSympt,reduceHosp,reduceMort,vacEffectDays,waneLnOdds
cur_2,0.8,0.8,0.00000001,0.5,0.5,10,0.01
cur_3,0.8,0.8,0.00000001,0.5,0.5,10,0.01
target,0.92,0.92,0.00000001,0.5,0.5,10,0.01
multi,0.8,0.8,0.00000001,0.5,0.5,10,0.001
base_post,0.9,0.9,0.00000001,0.5,0.5,0,0.01
omlike_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01
novel_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01
omlike_high_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01
novel_high_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01
cur_2_60,0.8,0.8,0.00000001,0.5,0.5,10,0.01
cur_3_60,0.8,0.8,0.00000001,0.5,0.5,10,0.01
target_60,0.92,0.92,0.00000001,0.5,0.5,10,0.01
multi_60,0.8,0.8,0.00000001,0.5,0.5,10,0.001
base_post_60,0.9,0.9,0.00000001,0.5,0.5,0,0.01
omlike_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01
novel_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01
omlike_high_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01
novel_high_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01
